Gene ID;source_id;Product Description;Chromosome;Genomic Location (Gene);Gene Name or Symbol;gene_source_id
PF3D7_0600500;PF3D7_0600500.1;rifin;6;Pf3D7_06_v3:26,557..27,830(+);RIF;PF3D7_0600500
PF3D7_0600700;PF3D7_0600700.1;rifin;6;Pf3D7_06_v3:31,965..33,244(-);RIF;PF3D7_0600700
PF3D7_0601400;PF3D7_0601400.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;6;Pf3D7_06_v3:51,351..52,898(+);VAR;PF3D7_0601400
PF3D7_0601500;PF3D7_0601500.1;Plasmodium exported protein (PHISTb), unknown function;6;Pf3D7_06_v3:65,788..67,277(-);null;PF3D7_0601500
PF3D7_0601600;PF3D7_0601600.1;tetratricopeptide repeat protein, putative;6;Pf3D7_06_v3:68,833..69,693(-);null;PF3D7_0601600
PF3D7_0602000;PF3D7_0602000.1;zinc finger protein, putative;6;Pf3D7_06_v3:82,609..86,922(-);null;PF3D7_0602000
PF3D7_0602400;PF3D7_0602400.1;elongation factor G;6;Pf3D7_06_v3:101,385..104,561(-);EF-G;PF3D7_0602400
PF3D7_0603200;PF3D7_0603200.1;mitochondrial chaperone BCS1, putative;6;Pf3D7_06_v3:128,621..130,036(+);BCS1;PF3D7_0603200
PF3D7_0603500;PF3D7_0603500.1;cation/H+ antiporter;6;Pf3D7_06_v3:139,193..140,518(+);CAX;PF3D7_0603500
PF3D7_0603600;PF3D7_0603600.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:141,418..148,943(-);null;PF3D7_0603600
PF3D7_0603700;PF3D7_0603700.1;phenylalanine--tRNA ligase;6;Pf3D7_06_v3:151,055..152,386(+);mFRS;PF3D7_0603700
PF3D7_0603800;PF3D7_0603800.1;centrosomal protein CEP76, putative;6;Pf3D7_06_v3:152,541..160,455(-);CEP76;PF3D7_0603800
PF3D7_0604100;PF3D7_0604100.1;AP2 domain transcription factor;6;Pf3D7_06_v3:171,301..177,240(-);SIP2;PF3D7_0604100
PF3D7_0604500;PF3D7_0604500.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:189,012..198,078(+);null;PF3D7_0604500
PF3D7_0604600;PF3D7_0604600.1;DNA helicase, putative;6;Pf3D7_06_v3:198,862..204,355(+);null;PF3D7_0604600
PF3D7_0605200;PF3D7_0605200.1;conserved protein, unknown function;6;Pf3D7_06_v3:220,407..221,813(-);null;PF3D7_0605200
PF3D7_0605500;PF3D7_0605500.1;cyclin dependent kinase binding protein, putative;6;Pf3D7_06_v3:225,346..227,446(-);null;PF3D7_0605500
PF3D7_0605600;PF3D7_0605600.1;nucleoside diphosphate kinase, putative;6;Pf3D7_06_v3:228,132..234,835(-);null;PF3D7_0605600
PF3D7_0606100;PF3D7_0606100.1;RNA-binding protein, putative;6;Pf3D7_06_v3:257,604..259,974(+);null;PF3D7_0606100
PF3D7_0606200;PF3D7_0606200.1;ubiquitin-conjugating enzyme E2 PEX4, putative;6;Pf3D7_06_v3:261,031..261,945(-);PEX4;PF3D7_0606200
PF3D7_0606500;PF3D7_0606500.1;polypyrimidine tract-binding protein, putative;6;Pf3D7_06_v3:265,839..268,399(-);PTB;PF3D7_0606500
PF3D7_0606600;PF3D7_0606600.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:270,332..277,762(-);null;PF3D7_0606600
PF3D7_0606700;PF3D7_0606700.1;coatomer alpha subunit, putative;6;Pf3D7_06_v3:282,049..287,017(+);null;PF3D7_0606700
PF3D7_0607000;PF3D7_0607000.1;translation initiation factor IF-2, putative;6;Pf3D7_06_v3:293,864..296,797(+);null;PF3D7_0607000
PF3D7_0607100;PF3D7_0607100.1;MYND-type zinc finger protein, putative;6;Pf3D7_06_v3:297,941..301,197(+);null;PF3D7_0607100
PF3D7_0607200;PF3D7_0607200.1;RING zinc finger protein, putative;6;Pf3D7_06_v3:301,874..303,290(-);null;PF3D7_0607200
PF3D7_0607400;PF3D7_0607400.1;G-protein associated signal transduction protein, putative;6;Pf3D7_06_v3:306,384..309,961(-);null;PF3D7_0607400
PF3D7_0607600;PF3D7_0607600.1;spindle assembly abnormal protein 6, putative;6;Pf3D7_06_v3:313,856..316,882(-);SAS6;PF3D7_0607600
PF3D7_0607700;PF3D7_0607700.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:320,740..328,998(+);null;PF3D7_0607700
PF3D7_0607800;PF3D7_0607800.1;GTP-binding protein, putative;6;Pf3D7_06_v3:329,537..331,725(-);null;PF3D7_0607800
PF3D7_0608700;PF3D7_0608700.1;T-complex protein 1 subunit zeta;6;Pf3D7_06_v3:358,391..360,203(+);CCT6;PF3D7_0608700
PF3D7_0609100;PF3D7_0609100.1;zinc transporter ZIP1, putative;6;Pf3D7_06_v3:388,915..390,748(-);ZIP1;PF3D7_0609100
PF3D7_0609400;PF3D7_0609400.1;mitochondrial cardiolipin synthase, putative;6;Pf3D7_06_v3:399,813..401,624(-);CLS;PF3D7_0609400
PF3D7_0610000;PF3D7_0610000.1;mitochondrial ribosomal protein L19 precursor, putative;6;Pf3D7_06_v3:433,008..434,178(+);null;PF3D7_0610000
PF3D7_0610200;PF3D7_0610200.1;RNA-binding protein 25, putative;6;Pf3D7_06_v3:437,663..440,545(-);RBM25;PF3D7_0610200
PF3D7_0610400;PF3D7_0610400.1;histone H3;6;Pf3D7_06_v3:444,747..445,157(+);H3;PF3D7_0610400
PF3D7_0610900;PF3D7_0610900.1;transcription elongation factor SPT5, putative;6;Pf3D7_06_v3:456,747..460,589(-);SPT5;PF3D7_0610900
PF3D7_0611300;PF3D7_0611300.1;ATP synthase-associated protein, putative;6;Pf3D7_06_v3:470,049..471,224(+);null;PF3D7_0611300
PF3D7_0611400;PF3D7_0611400.1;SWIB/MDM2 domain-containing protein;6;Pf3D7_06_v3:471,658..474,150(-);SWIB;PF3D7_0611400
PF3D7_0611700;PF3D7_0611700.1;60S ribosomal protein L39;6;Pf3D7_06_v3:488,579..489,287(-);RPL39;PF3D7_0611700
PF3D7_0611800;PF3D7_0611800.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:490,858..501,140(-);null;PF3D7_0611800
PF3D7_0612100;PF3D7_0612100.1;eukaryotic translation initiation factor 3 subunit L, putative;6;Pf3D7_06_v3:509,160..511,130(-);EIF3L;PF3D7_0612100
PF3D7_0612600;PF3D7_0612600.1;cytoplasmic tRNA 2-thiolation protein 1, putative;6;Pf3D7_06_v3:523,657..525,105(-);NCS6;PF3D7_0612600
PF3D7_0612700;PF3D7_0612700.1;6-cysteine protein P12;6;Pf3D7_06_v3:525,987..527,030(-);P12;PF3D7_0612700
PF3D7_0612800;PF3D7_0612800.1;6-cysteine protein;6;Pf3D7_06_v3:528,060..529,175(-);P12p;PF3D7_0612800
PF3D7_0612900;PF3D7_0612900.1;nucleolar GTP-binding protein 1, putative;6;Pf3D7_06_v3:531,126..533,186(+);NOG1;PF3D7_0612900
PF3D7_0613000;PF3D7_0613000.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:533,907..535,364(-);null;PF3D7_0613000
PF3D7_0613300;PF3D7_0613300.1;rhoptry protein ROP14;6;Pf3D7_06_v3:540,077..544,798(-);ROP14;PF3D7_0613300
PF3D7_0613800;PF3D7_0613800.1;AP2 domain transcription factor, putative;6;Pf3D7_06_v3:566,139..578,993(+);ApiAP2;PF3D7_0613800
PF3D7_0614000;PF3D7_0614000.1;thiamine-phosphate synthase, putative;6;Pf3D7_06_v3:587,019..588,635(-);null;PF3D7_0614000
PF3D7_0614200;PF3D7_0614200.1;cytosolic Fe-S cluster assembly factor NAR1, putative;6;Pf3D7_06_v3:593,172..595,904(-);NAR1;PF3D7_0614200
PF3D7_0614300;PF3D7_0614300.1;major facilitator superfamily-related transporter, putative;6;Pf3D7_06_v3:597,484..600,517(-);MFR1;PF3D7_0614300
PF3D7_0614800;PF3D7_0614800.1;endonuclease III-like protein 1, putative;6;Pf3D7_06_v3:615,297..616,610(-);NTHL1;PF3D7_0614800
PF3D7_0615600;PF3D7_0615600.1;zinc finger protein, putative;6;Pf3D7_06_v3:646,637..655,596(-);null;PF3D7_0615600
PF3D7_0616000;PF3D7_0616000.1;pyridoxal kinase;6;Pf3D7_06_v3:669,860..671,632(+);PDXK;PF3D7_0616000
PF3D7_0616500;PF3D7_0616500.1;TRAP-like protein;6;Pf3D7_06_v3:684,742..688,857(+);TLP;PF3D7_0616500
PF3D7_0617300;PF3D7_0617300.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:720,535..721,312(+);null;PF3D7_0617300
PF3D7_0617400;PF3D7_0617400.1;erythrocyte membrane protein 1, PfEMP1;6;Pf3D7_06_v3:723,117..731,490(-);VAR;PF3D7_0617400
PF3D7_0617600;PF3D7_0617600.1;stevor;6;Pf3D7_06_v3:738,259..739,265(-);null;PF3D7_0617600
PF3D7_0617700;PF3D7_0617700.1;rifin;6;Pf3D7_06_v3:741,269..742,406(-);RIF;PF3D7_0617700
PF3D7_0617800;PF3D7_0617800.1;histone H2A;6;Pf3D7_06_v3:748,416..748,814(-);H2A;PF3D7_0617800
PF3D7_0617900;PF3D7_0617900.1;histone H3 variant;6;Pf3D7_06_v3:754,395..754,805(+);H3.3;PF3D7_0617900
PF3D7_0618400;PF3D7_0618400.1;LMBR1 domain-containing protein, putative;6;Pf3D7_06_v3:770,147..772,506(-);null;PF3D7_0618400
PF3D7_0619800;PF3D7_0619800.1;conserved Plasmodium membrane protein, unknown function;6;Pf3D7_06_v3:831,286..839,033(-);null;PF3D7_0619800
PF3D7_0619900;PF3D7_0619900.1;splicing factor 3A subunit 2, putative;6;Pf3D7_06_v3:840,523..841,224(+);SF3A2;PF3D7_0619900
PF3D7_0620000;PF3D7_0620000.1;secreted ookinete protein 25, putative;6;Pf3D7_06_v3:841,846..843,363(-);PSOP25;PF3D7_0620000
PF3D7_0620500;PF3D7_0620500.1;cleavage stimulation factor subunit 1, putative;6;Pf3D7_06_v3:855,160..857,112(+);null;PF3D7_0620500
PF3D7_0621100;PF3D7_0621100.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:865,845..869,909(-);null;PF3D7_0621100
PF3D7_0621300;PF3D7_0621300.1;mRNA-binding protein PUF3;6;Pf3D7_06_v3:873,809..876,190(+);PUF3;PF3D7_0621300
PF3D7_0622300;PF3D7_0622300.1;vacuolar transporter chaperone, putative;6;Pf3D7_06_v3:908,017..911,096(+);null;PF3D7_0622300
PF3D7_0622900;PF3D7_0622900.1;AP2 domain transcription factor AP2Tel;6;Pf3D7_06_v3:925,105..931,074(-);AP2Tel;PF3D7_0622900
PF3D7_0623300;PF3D7_0623300.1;EGF-like membrane protein, putative;6;Pf3D7_06_v3:947,493..948,644(-);null;PF3D7_0623300
PF3D7_0623400;PF3D7_0623400.1;MEI2-like RNA-binding protein, putative;6;Pf3D7_06_v3:950,223..951,506(-);PlasMei2;PF3D7_0623400
PF3D7_0623600;PF3D7_0623600.1;transcription or splicing factor-like protein, putative;6;Pf3D7_06_v3:956,765..958,756(+);null;PF3D7_0623600
PF3D7_0624200;PF3D7_0624200.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:985,047..986,870(-);null;PF3D7_0624200
PF3D7_0624800;PF3D7_0624800.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:1,011,429..1,014,569(-);null;PF3D7_0624800
PF3D7_0624900;PF3D7_0624900.1;GAS8-like protein, putative;6;Pf3D7_06_v3:1,015,868..1,018,444(+);null;PF3D7_0624900
PF3D7_0627300;PF3D7_0627300.1;E3 ubiquitin-protein ligase RNF5, putative;6;Pf3D7_06_v3:1,097,300..1,098,649(-);RNF5;PF3D7_0627300
PF3D7_0627400;PF3D7_0627400.1;mitochondrial import inner membrane translocase subunit TIM22, putative;6;Pf3D7_06_v3:1,100,277..1,100,858(-);TIM22;PF3D7_0627400
PF3D7_0627700;PF3D7_0627700.1;transportin;6;Pf3D7_06_v3:1,108,197..1,111,640(+);null;PF3D7_0627700
PF3D7_0627800;PF3D7_0627800.1;acetyl-CoA synthetase, putative;6;Pf3D7_06_v3:1,114,544..1,117,537(-);ACS;PF3D7_0627800
PF3D7_0627900;PF3D7_0627900.1;ribonuclease P protein subunit p29, putative;6;Pf3D7_06_v3:1,119,587..1,120,858(+);POP4;PF3D7_0627900
PF3D7_0628400;PF3D7_0628400.1;protease, putative;6;Pf3D7_06_v3:1,176,265..1,178,587(+);null;PF3D7_0628400
PF3D7_0628600;PF3D7_0628600.1;DNA methyltransferase 1-associated protein 1, putative;6;Pf3D7_06_v3:1,180,573..1,182,353(-);null;PF3D7_0628600
PF3D7_0628900;PF3D7_0628900.1;RAP protein, putative;6;Pf3D7_06_v3:1,189,472..1,193,978(+);null;PF3D7_0628900
PF3D7_0629000;PF3D7_0629000.1;glucosamine 6-phosphate N-acetyltransferase;6;Pf3D7_06_v3:1,194,304..1,195,179(-);GNA1;PF3D7_0629000
PF3D7_0629100;PF3D7_0629100.1;nicotinate phosphoribosyltransferase, putative;6;Pf3D7_06_v3:1,196,041..1,198,038(-);NAPRT;PF3D7_0629100
PF3D7_0629200;PF3D7_0629200.1;DnaJ protein, putative;6;Pf3D7_06_v3:1,199,853..1,200,995(-);null;PF3D7_0629200
PF3D7_0629900;PF3D7_0629900.1;sec14-like cytosolic factor or phosphatidylinositol/phosphatidylcholine transfer protein, putative;6;Pf3D7_06_v3:1,250,412..1,251,651(+);null;PF3D7_0629900
PF3D7_0630100;PF3D7_0630100.1;conserved Plasmodium protein, unknown function;6;Pf3D7_06_v3:1,254,907..1,256,940(-);null;PF3D7_0630100
PF3D7_0630500;PF3D7_0630500.1;ribosome biogenesis protein YTM1, putative;6;Pf3D7_06_v3:1,276,329..1,277,825(+);YTM1;PF3D7_0630500
PF3D7_0630700;PF3D7_0630700.1;bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, putative;6;Pf3D7_06_v3:1,285,058..1,287,031(+);null;PF3D7_0630700
PF3D7_0631000;PF3D7_0631000.1;tetratricopeptide repeat protein, putative;6;Pf3D7_06_v3:1,295,474..1,296,331(+);null;PF3D7_0631000
PF3D7_0631100;PF3D7_0631100.1;Plasmodium exported protein (PHISTb), unknown function;6;Pf3D7_06_v3:1,297,885..1,299,373(+);null;PF3D7_0631100
PF3D7_0631200;PF3D7_0631200.1;erythrocyte membrane protein 1 (PfEMP1), pseudogene;6;Pf3D7_06_v3:1,313,708..1,315,253(-);VAR;PF3D7_0631200
PF3D7_0631800;PF3D7_0631800.1;rifin;6;Pf3D7_06_v3:1,329,771..1,330,963(+);RIF;PF3D7_0631800
PF3D7_0631900;PF3D7_0631900.1;stevor;6;Pf3D7_06_v3:1,333,013..1,334,035(+);null;PF3D7_0631900
PF3D7_0632000;PF3D7_0632000.1;rifin;6;Pf3D7_06_v3:1,336,146..1,337,473(+);RIF;PF3D7_0632000
PF3D7_0632100;PF3D7_0632100.1;rifin;6;Pf3D7_06_v3:1,338,218..1,339,417(-);RIF;PF3D7_0632100
PF3D7_0632200;PF3D7_0632200.1;rifin;6;Pf3D7_06_v3:1,341,307..1,342,595(-);RIF;PF3D7_0632200
PF3D7_0632300;PF3D7_0632300.1;rifin;6;Pf3D7_06_v3:1,347,341..1,348,571(+);RIF;PF3D7_0632300
PF3D7_0632400;PF3D7_0632400.1;rifin;6;Pf3D7_06_v3:1,350,724..1,352,087(+);RIF;PF3D7_0632400
PF3D7_0632500;PF3D7_0632500.1;erythrocyte membrane protein 1, PfEMP1;6;Pf3D7_06_v3:1,353,946..1,366,430(-);VAR;PF3D7_0632500
PF3D7_0632700;PF3D7_0632700.1;rifin;6;Pf3D7_06_v3:1,371,501..1,372,861(+);RIF;PF3D7_0632700
PF3D7_0632800;PF3D7_0632800.1;erythrocyte membrane protein 1, PfEMP1;6;Pf3D7_06_v3:1,374,797..1,382,627(-);VAR;PF3D7_0632800
PF3D7_0700100;PF3D7_0700100.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:20,307..28,083(+);VAR;PF3D7_0700100
PF3D7_0700200;PF3D7_0700200.1;rifin;7;Pf3D7_07_v3:30,097..31,269(+);RIF;PF3D7_0700200
PF3D7_0700300;PF3D7_0700300.1;rifin;7;Pf3D7_07_v3:33,585..34,804(-);RIF;PF3D7_0700300
PF3D7_0700400;PF3D7_0700400.1;stevor;7;Pf3D7_07_v3:36,922..37,927(-);null;PF3D7_0700400
PF3D7_0700500;PF3D7_0700500.1;rifin;7;Pf3D7_07_v3:40,288..41,453(-);RIF;PF3D7_0700500
PF3D7_0701100;PF3D7_0701100.1;rifin;7;Pf3D7_07_v3:55,562..56,781(-);RIF;PF3D7_0701100
PF3D7_0701800;PF3D7_0701800.1;rifin;7;Pf3D7_07_v3:75,918..77,055(-);RIF;PF3D7_0701800
PF3D7_0702300;PF3D7_0702300.1;sporozoite threonine and asparagine-rich protein;7;Pf3D7_07_v3:96,761..98,730(+);STARP;PF3D7_0702300
PF3D7_0702900;PF3D7_0702900.1;centrin, putative;7;Pf3D7_07_v3:113,144..113,948(-);null;PF3D7_0702900
PF3D7_0704200;PF3D7_0704200.1;tRNA m5C-methyltransferase, putative;7;Pf3D7_07_v3:191,309..194,890(-);null;PF3D7_0704200
PF3D7_0704800;PF3D7_0704800.1;protein phosphatase PPM12, putative;7;Pf3D7_07_v3:238,159..242,052(-);PPM12;PF3D7_0704800
PF3D7_0705300;PF3D7_0705300.1;origin recognition complex subunit 2;7;Pf3D7_07_v3:261,977..264,454(+);ORC2;PF3D7_0705300
PF3D7_0705900;PF3D7_0705900.1;ATP synthase subunit C, putative;7;Pf3D7_07_v3:290,100..291,220(-);null;PF3D7_0705900
PF3D7_0706000;PF3D7_0706000.1;importin-7, putative;7;Pf3D7_07_v3:293,400..297,089(+);null;PF3D7_0706000
PF3D7_0706400;PF3D7_0706400.1;60S ribosomal protein L37;7;Pf3D7_07_v3:306,855..307,133(-);RPL37;PF3D7_0706400
PF3D7_0706700;PF3D7_0706700.1;DNA mismatch repair protein MSH2, putative;7;Pf3D7_07_v3:322,907..325,528(+);MSH2-2;PF3D7_0706700
PF3D7_0707300;PF3D7_0707300.1;rhoptry-associated membrane antigen;7;Pf3D7_07_v3:338,885..342,083(+);RAMA;PF3D7_0707300
PF3D7_0707800;PF3D7_0707800.1;RAP protein, putative;7;Pf3D7_07_v3:362,005..365,779(+);null;PF3D7_0707800
PF3D7_0708100;PF3D7_0708100.1;DNA-directed RNA polymerases I, II, and III subunit RPABC5, putative;7;Pf3D7_07_v3:372,897..373,106(-);RPB10;PF3D7_0708100
PF3D7_0708900;PF3D7_0708900.1;protein SCO1, putative;7;Pf3D7_07_v3:399,290..400,243(-);SCO1;PF3D7_0708900
PF3D7_0709000;PF3D7_0709000.1;chloroquine resistance transporter;7;Pf3D7_07_v3:403,222..406,317(+);CRT;PF3D7_0709000
PF3D7_0709100;PF3D7_0709100.1;Cg1 protein;7;Pf3D7_07_v3:408,215..411,961(+);null;PF3D7_0709100
PF3D7_0710900;PF3D7_0710900.1;50S ribosomal protein L1, mitochondrial, putative;7;Pf3D7_07_v3:484,838..486,037(+);RPL1;PF3D7_0710900
PF3D7_0711400;PF3D7_0711400.1;histone deacetylase complex subunit SAP18, putative;7;Pf3D7_07_v3:500,408..502,594(-);SAP18;PF3D7_0711400
PF3D7_0711500;PF3D7_0711500.1;regulator of chromosome condensation, putative;7;Pf3D7_07_v3:505,245..507,311(+);null;PF3D7_0711500
PF3D7_0711700;PF3D7_0711700.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:511,950..519,425(-);VAR;PF3D7_0711700
PF3D7_0712000;PF3D7_0712000.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:527,338..535,131(-);VAR;PF3D7_0712000
PF3D7_0712300;PF3D7_0712300.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:542,906..550,520(-);VAR;PF3D7_0712300
PF3D7_0712400;PF3D7_0712400.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:552,158..559,078(-);VAR;PF3D7_0712400
PF3D7_0712600;PF3D7_0712600.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:566,726..574,308(-);VAR;PF3D7_0712600
PF3D7_0712800;PF3D7_0712800.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:581,386..588,923(-);VAR;PF3D7_0712800
PF3D7_0712900;PF3D7_0712900.1;erythrocyte membrane protein 1, PfEMP1;7;Pf3D7_07_v3:590,326..597,733(-);VAR;PF3D7_0712900
PF3D7_0713000;PF3D7_0713000.1;rifin;7;Pf3D7_07_v3:602,141..603,381(+);RIF;PF3D7_0713000
PF3D7_0714000;PF3D7_0714000.1;histone H2B variant;7;Pf3D7_07_v3:643,101..643,472(-);H2B.Z;PF3D7_0714000
PF3D7_0714500;PF3D7_0714500.1;transcription elongation factor s-II, putative;7;Pf3D7_07_v3:664,956..666,167(+);null;PF3D7_0714500
PF3D7_0715000;PF3D7_0715000.1;4-nitrophenylphosphatase;7;Pf3D7_07_v3:673,451..674,419(+);PNPase;PF3D7_0715000
PF3D7_0715500;PF3D7_0715500.1;ATP synthase subunit epsilon, mitochondrial, putative;7;Pf3D7_07_v3:689,543..690,057(-);null;PF3D7_0715500
PF3D7_0715600;PF3D7_0715600.1;GTP-binding translation elongation factor tu family protein, putative;7;Pf3D7_07_v3:691,068..693,332(+);null;PF3D7_0715600
PF3D7_0716100;PF3D7_0716100.1;protein SDA1, putative;7;Pf3D7_07_v3:707,699..710,908(-);SDA1;PF3D7_0716100
PF3D7_0716200;PF3D7_0716200.1;PDCD2 domain-containing protein, putative;7;Pf3D7_07_v3:712,469..714,967(+);null;PF3D7_0716200
PF3D7_0716400;PF3D7_0716400.1;transcription initiation factor IIA subunit 1, putative;7;Pf3D7_07_v3:720,010..721,467(+);null;PF3D7_0716400
PF3D7_0716800;PF3D7_0716800.1;eukaryotic translation initiation factor 3 subunit I, putative;7;Pf3D7_07_v3:732,070..733,496(-);EIF3I;PF3D7_0716800
PF3D7_0717300;PF3D7_0717300.1;transcription initiation factor IIE subunit alpha, putative;7;Pf3D7_07_v3:748,990..750,699(+);null;PF3D7_0717300
PF3D7_0718300;PF3D7_0718300.1;cysteine repeat modular protein 2;7;Pf3D7_07_v3:812,301..820,635(-);CRMP2;PF3D7_0718300
PF3D7_0718500;PF3D7_0718500.1;prefoldin subunit 3, putative;7;Pf3D7_07_v3:824,445..825,884(+);null;PF3D7_0718500
PF3D7_0719700;PF3D7_0719700.1;40S ribosomal protein S10, putative;7;Pf3D7_07_v3:861,583..862,487(+);RPS10;PF3D7_0719700
PF3D7_0720400;PF3D7_0720400.1;apoptosis-inducing factor, putative;7;Pf3D7_07_v3:882,936..884,988(+);AIF;PF3D7_0720400
PF3D7_0720800;PF3D7_0720800.1;Ham1-like protein, putative;7;Pf3D7_07_v3:899,751..901,137(+);null;PF3D7_0720800
PF3D7_0721600;PF3D7_0721600.1;40S ribosomal protein S5, putative;7;Pf3D7_07_v3:931,459..932,164(-);null;PF3D7_0721600
PF3D7_0722400;PF3D7_0722400.1;Obg-like ATPase 1, putative;7;Pf3D7_07_v3:954,784..956,343(+);OLA1;PF3D7_0722400
PF3D7_0723000;PF3D7_0723000.1;tRNAHis guanylyltransferase, putative;7;Pf3D7_07_v3:968,836..969,735(-);null;PF3D7_0723000
PF3D7_0723700;PF3D7_0723700.1;metallo-hydrolase/oxidoreductase, putative;7;Pf3D7_07_v3:988,145..991,243(+);null;PF3D7_0723700
PF3D7_0723900;PF3D7_0723900.1;RNA-binding protein, putative;7;Pf3D7_07_v3:1,000,701..1,004,746(-);null;PF3D7_0723900
PF3D7_0724000;PF3D7_0724000.1;Rab GTPase activator and protein kinase, putative;7;Pf3D7_07_v3:1,006,335..1,012,145(+);null;PF3D7_0724000
PF3D7_0724600;PF3D7_0724600.1;protein kinase, putative;7;Pf3D7_07_v3:1,026,444..1,033,077(-);null;PF3D7_0724600
PF3D7_0724900;PF3D7_0724900.1;kinesin-19, putative;7;Pf3D7_07_v3:1,052,465..1,058,158(+);null;PF3D7_0724900
PF3D7_0725200;PF3D7_0725200.1;mago nashi protein homologue, putative;7;Pf3D7_07_v3:1,070,980..1,071,737(+);null;PF3D7_0725200
PF3D7_0725300;PF3D7_0725300.1;conserved protein, unknown function;7;Pf3D7_07_v3:1,072,202..1,074,754(-);null;PF3D7_0725300
PF3D7_0726200;PF3D7_0726200.1;serine/threonine protein kinase, FIKK family;7;Pf3D7_07_v3:1,100,134..1,102,967(+);FIKK7.1;PF3D7_0726200
PF3D7_0726900;PF3D7_0726900.1;mitochondrial import inner membrane translocase subunit TIM50, putative;7;Pf3D7_07_v3:1,145,648..1,147,207(+);TIM50;PF3D7_0726900
PF3D7_0727500;PF3D7_0727500.1;mTERF domain-containing protein, putative;7;Pf3D7_07_v3:1,164,455..1,166,578(-);null;PF3D7_0727500
PF3D7_0728000;PF3D7_0728000.1;eukaryotic translation initiation factor 2 subunit alpha;7;Pf3D7_07_v3:1,191,179..1,192,289(-);eIF2alpha;PF3D7_0728000
PF3D7_0729300;PF3D7_0729300.1;60S ribosomal export protein NMD3, putative;7;Pf3D7_07_v3:1,248,837..1,251,503(-);NMD3;PF3D7_0729300
PF3D7_0729400;PF3D7_0729400.1;ribosome biogenesis protein BRX1, putative;7;Pf3D7_07_v3:1,252,847..1,254,097(+);null;PF3D7_0729400
PF3D7_0729800;PF3D7_0729800.1;dynein light chain, putative;7;Pf3D7_07_v3:1,264,445..1,264,738(+);null;PF3D7_0729800
PF3D7_0730100;PF3D7_0730100.1;tRNA pseudouridine synthase D, putative;7;Pf3D7_07_v3:1,282,913..1,285,519(+);null;PF3D7_0730100
PF3D7_0730300;PF3D7_0730300.1;AP2 domain transcription factor AP2-L, putative;7;Pf3D7_07_v3:1,297,459..1,301,454(+);ApiAP2;PF3D7_0730300
PF3D7_0730800;PF3D7_0730800.1;Plasmodium exported protein, unknown function, unspecified product;7;Pf3D7_07_v3:1,321,306..1,322,367(+);null;PF3D7_0730800
PF3D7_0731100;PF3D7_0731100.1;EMP1-trafficking protein;7;Pf3D7_07_v3:1,338,959..1,341,790(+);PTP2;PF3D7_0731100
PF3D7_0731400;PF3D7_0731400.1;serine/threonine protein kinase, FIKK family, pseudogene;7;Pf3D7_07_v3:1,353,758..1,355,482(+);FIKK7.2;PF3D7_0731400
PF3D7_0731500;PF3D7_0731500.1;erythrocyte binding antigen-175;7;Pf3D7_07_v3:1,358,055..1,362,929(+);EBA175;PF3D7_0731500
PF3D7_0731800;PF3D7_0731800.1;alpha/beta hydrolase, putative;7;Pf3D7_07_v3:1,378,618..1,380,769(+);GEXP08;PF3D7_0731800
PF3D7_0732000;PF3D7_0732000.1;stevor;7;Pf3D7_07_v3:1,385,635..1,386,626(+);null;PF3D7_0732000
PF3D7_0732200;PF3D7_0732200.1;rifin;7;Pf3D7_07_v3:1,390,711..1,392,043(+);RIF;PF3D7_0732200
PF3D7_0732300;PF3D7_0732300.1;rifin;7;Pf3D7_07_v3:1,396,437..1,397,639(-);RIF;PF3D7_0732300
PF3D7_0732400;PF3D7_0732400.1;rifin;7;Pf3D7_07_v3:1,399,452..1,400,682(-);RIF;PF3D7_0732400
PF3D7_0732500;PF3D7_0732500.1;rifin;7;Pf3D7_07_v3:1,402,623..1,403,978(-);RIF;PF3D7_0732500
PF3D7_0732700;PF3D7_0732700.1;rifin;7;Pf3D7_07_v3:1,408,781..1,409,975(+);RIF;PF3D7_0732700
PF3D7_0732900;PF3D7_0732900.1;rifin;7;Pf3D7_07_v3:1,414,434..1,415,683(+);RIF;PF3D7_0732900
